Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C3H4-A_PFRC2 (),Mole_fraction_C3H3_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_BENZYNE_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Mole_fraction_NC10H19_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.02932109,2.476571E-5,6.283185,3.141593,6.283185,1183.457,0.2720914,-2.71205E9,1702.952,2.469295E8,1702.952,1.000001,0.8818451,1.586354E-4,0.01529303,1.605409E-4,0.01352089,0.006689331,1.972569E-4,9.731979E-5,1.898685E-4,1.881717E-4,6.370732E-4,0.02434368,1.68012E-4,0.01672814,0.002385439,3.791714E-4,2.438383E-4,3.537559E-4,0.00696869,0.02807776,2.61604E-5,1.902379E-5,5.71009E-6,8.70392E-5,2.259544E-4,1.184653E-4,2.524264E-6,2.130413E-6,3.304259E-5,-4.964498E-22,10.22663,7.318335E-5,643535.4,643583.7
0.02933445,2.4777E-5,6.283185,3.141593,6.283185,1183.456,0.2720914,-2.794398E9,1702.944,2.469281E8,1702.944,1.000001,0.8818399,1.585964E-4,0.01529458,1.604545E-4,0.01352328,0.006691031,1.973435E-4,9.736035E-5,1.898898E-4,1.88214E-4,6.373695E-4,0.02434825,1.681218E-4,0.01672671,0.002384929,3.79142E-4,2.43865E-4,3.537594E-4,0.006969762,0.02807266,2.612721E-5,1.903598E-5,5.714593E-6,8.70748E-5,2.2604E-4,1.185285E-4,2.527691E-6,2.132553E-6,3.306246E-5,-4.995051E-22,10.22659,7.318341E-5,643534.3,643583.2
0.02933952,2.478128E-5,6.283185,3.141593,6.283185,1183.456,0.2720914,-2.83841E9,1702.941,2.469275E8,1702.941,1.000001,0.8818381,1.585666E-4,0.01529517,1.60427E-4,0.01352413,0.006691678,1.973764E-4,9.737576E-5,1.89898E-4,1.882301E-4,6.374821E-4,0.02434999,1.681635E-4,0.01672617,0.002384735,3.79131E-4,2.438752E-4,3.537608E-4,0.006970171,0.02807073,2.611465E-5,1.904061E-5,5.716304E-6,8.708833E-5,2.260726E-4,1.185525E-4,2.52952E-6,2.133366E-6,3.307001E-5,-5.006599E-22,10.22658,7.318345E-5,643533.7,643582.7
0.02943628,2.486305E-5,6.283185,3.141593,6.283185,1183.445,0.2720914,-2.868484E9,1702.882,2.469172E8,1702.882,1.000001,0.881803,1.581924E-4,0.01530644,1.601196E-4,0.01354001,0.006703997,1.980045E-4,9.767009E-5,1.900525E-4,1.885373E-4,6.396299E-4,0.02438316,1.689598E-4,0.01671593,0.002381043,3.789206E-4,2.44069E-4,3.53787E-4,0.006977933,0.02803396,2.587703E-5,1.9129E-5,5.748987E-6,8.734644E-5,2.266935E-4,1.190107E-4,2.562671E-6,2.148874E-6,3.321413E-5,-5.226571E-22,10.22632,7.318413E-5,643519.3,643568.8
0.02948509,2.490429E-5,6.283185,3.141593,6.283185,1183.439,0.2720914,-2.859742E9,1702.853,2.46912E8,1702.853,1.000001,0.8817852,1.581282E-4,0.01531211,1.600311E-4,0.01354797,0.0067102,1.983211E-4,9.781856E-5,1.901298E-4,1.886917E-4,6.407119E-4,0.02439985,1.693615E-4,0.01671076,0.00237919,3.788137E-4,2.441662E-4,3.537998E-4,0.006981834,0.02801544,2.575892E-5,1.91736E-5,5.765489E-6,8.747647E-5,2.270064E-4,1.192417E-4,2.577288E-6,2.156691E-6,3.32868E-5,-5.336741E-22,10.22619,7.318446E-5,643511.5,643561.1
0.02959581,2.499785E-5,6.283185,3.141593,6.283185,1183.426,0.2720914,-2.839632E9,1702.784,2.468999E8,1702.784,1.000001,0.8817447,1.579405E-4,0.01532496,1.598983E-4,0.01356607,0.006724254,1.990387E-4,9.815547E-5,1.903041E-4,1.890411E-4,6.431643E-4,0.02443761,1.702732E-4,0.01669903,0.002375006,3.785676E-4,2.443857E-4,3.538264E-4,0.006990664,0.0279735,2.549516E-5,1.927483E-5,5.802975E-6,8.777133E-5,2.27716E-4,1.197656E-4,2.612288E-6,2.174445E-6,3.345171E-5,-5.585464E-22,10.22589,7.318527E-5,643495.8,643545.6
0.02960647,2.500686E-5,6.283185,3.141593,6.283185,1183.425,0.2720914,-2.943875E9,1702.778,2.468988E8,1702.778,1.000001,0.8817406,1.579134E-4,0.01532619,1.59892E-4,0.01356794,0.006725604,1.991078E-4,9.81879E-5,1.903207E-4,1.890747E-4,6.434002E-4,0.02444123,1.70361E-4,0.0166979,0.002374604,3.785436E-4,2.444067E-4,3.538288E-4,0.00699151,0.02796947,2.547007E-5,1.928458E-5,5.806588E-6,8.77997E-5,2.277843E-4,1.19816E-4,2.616241E-6,2.176154E-6,3.346758E-5,-5.60929E-22,10.22586,7.318533E-5,643494.4,643544.6
0.02972527,2.510724E-5,6.283185,3.141593,6.283185,1183.412,0.2720914,-2.788416E9,1702.707,2.468863E8,1702.707,1.000001,0.8816977,1.578662E-4,0.01533995,1.595612E-4,0.01358707,0.006740658,1.998766E-4,9.854951E-5,1.905056E-4,1.894474E-4,6.460274E-4,0.02448162,1.713399E-4,0.01668532,0.002370163,3.78274E-4,2.446405E-4,3.538539E-4,0.00700095,0.0279246,2.519429E-5,1.939331E-5,5.846892E-6,8.811586E-5,2.285452E-4,1.203776E-4,2.646052E-6,2.195229E-6,3.364455E-5,-5.874448E-22,10.22555,7.318614E-5,643474.6,643524.5
0.03429737,2.897151E-5,6.283185,3.141593,6.283185,1182.938,0.2720914,-2.570538E9,1700.109,2.464291E8,1700.109,1.000001,0.8801352,1.513894E-4,0.0158392,1.492716E-4,0.01427697,0.007302146,2.285871E-4,1.120105E-4,1.964781E-4,2.028243E-4,7.442489E-4,0.0259583,2.094716E-4,0.01620585,0.002222199,3.661505E-4,2.526504E-4,3.529158E-4,0.007338651,0.02628639,1.815499E-5,2.36449E-5,7.454871E-6,1.00265E-4,2.576061E-4,1.417354E-4,3.771378E-6,3.020606E-6,4.049023E-5,-1.552419E-21,10.21403,7.321546E-5,642751.8,642796.0
0.06176774,5.221746E-5,6.283185,3.141593,6.283185,1180.706,0.2720914,-1.631579E9,1687.975,2.442934E8,1687.975,1.000001,0.8731676,1.279103E-4,0.01815184,1.201732E-4,0.01712426,0.01009775,3.617192E-4,1.720883E-4,2.036116E-4,2.586449E-4,0.001217499,0.03253076,4.475264E-4,0.01377055,0.001703406,2.869564E-4,2.743839E-4,3.189624E-4,0.008623124,0.01907526,1.047064E-5,5.112429E-5,1.876204E-5,1.709863E-4,4.239732E-4,2.573294E-4,1.581818E-5,1.120197E-5,8.145662E-5,-1.066925E-17,10.16031,7.335387E-5,639383.1,639403.2
