Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mole_fraction_H2_PFRC2 (),Mole_fraction_H_PFRC2 (),Mole_fraction_H2O_PFRC2 (),Mole_fraction_CO_PFRC2 (),Mole_fraction_CH4_PFRC2 (),Mole_fraction_CH3_PFRC2 (),Mole_fraction_CH2O_PFRC2 (),Mole_fraction_C2H4_PFRC2 (),Mole_fraction_C2H2_PFRC2 (),Mole_fraction_C3H4-P_PFRC2 (),Mole_fraction_C4H4_PFRC2 (),Mole_fraction_C4H2_PFRC2 (),Mole_fraction_C6H6_PFRC2 (),Mole_fraction_C10H8_PFRC2 (),Mole_fraction_C7H8_PFRC2 (),Mole_fraction_C7H7_PFRC2 (),Mole_fraction_STILB_PFRC2 (),Mole_fraction_C7H6_PFRC2 (),Mole_fraction_C6H5C2H_PFRC2 (),Mole_fraction_C6H5C2H3_PFRC2 (),Mole_fraction_C6H5C2H5_PFRC2 (),Mole_fraction_INDENE_PFRC2 (),Mole_fraction_INDENYL_PFRC2 (),Mole_fraction_C12H8_PFRC2 (),Mole_fraction_BIPHENYL_PFRC2 (),Mole_fraction_C14H10_PFRC2 (),Mole_fraction_C16H10_PFRC2 (),Mole_fraction_C18H10_PFRC2 (),Mole_fraction_BIN1B_PFRC2 (),Mole_fraction_BIN1A_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0.2323144,5.377668E-5,3.141593,0.7853982,3.141593,4318.491,0.1974164,-5.503935E8,1615.485,1.157673E8,1615.485,1.000003,0.9207986,6.695995E-5,-3.987111E-7,6.929782E-8,0.00940835,4.496093E-5,1.149424E-7,0.009121951,0.003405514,5.860773E-5,5.34811E-5,1.322194E-4,0.01512366,4.479954E-5,0.01417643,0.001149746,1.232071E-4,1.413221E-4,0.003818264,0.02157504,3.441057E-5,6.233357E-6,5.450864E-6,9.927548E-7,3.113189E-5,9.826942E-5,5.782499E-5,8.189144E-7,7.466891E-7,1.896748E-5,7.715801,5.820514E-5,446098.7,446099.3
0.234118,5.419434E-5,3.141593,0.7853982,3.141593,4318.402,0.1974164,-6.698266E8,1615.405,1.157603E8,1615.405,1.000003,0.9207472,6.669264E-5,-6.748475E-7,7.404524E-8,0.009422537,4.48499E-5,2.45375E-7,0.009148804,0.003419389,5.907518E-5,5.372608E-5,1.334465E-4,0.01517393,4.534612E-5,0.01416559,0.001146007,1.234472E-4,1.415251E-4,0.003829077,0.02152101,3.345079E-5,6.270986E-6,5.509384E-6,1.006347E-6,3.134813E-5,9.888444E-5,5.833944E-5,8.385304E-7,7.596206E-7,1.916578E-5,7.715578,5.820633E-5,446088.3,446089.6
0.234136,5.419851E-5,3.141593,0.7853982,3.141593,4318.401,0.1974164,-5.892535E8,1615.404,1.157602E8,1615.404,1.000003,0.9207467,6.668467E-5,-6.87692E-7,7.410685E-8,0.009422679,4.485031E-5,2.529564E-7,0.009149084,0.003419527,5.907984E-5,5.372853E-5,1.334587E-4,0.01517443,4.535157E-5,0.01416548,0.00114597,1.234496E-4,1.415271E-4,0.003829184,0.02152047,3.344142E-5,6.271362E-6,5.509967E-6,1.006483E-6,3.135028E-5,9.889058E-5,5.834457E-5,8.388148E-7,7.597498E-7,1.916776E-5,7.715576,5.820634E-5,446088.3,446089.7
0.2341961,5.421242E-5,3.141593,0.7853982,3.141593,4318.399,0.1974164,-6.665238E8,1615.401,1.157599E8,1615.401,1.000003,0.9207449,6.665632E-5,-7.330416E-7,7.432219E-8,0.00942315,4.484847E-5,2.798846E-7,0.009150022,0.003419988,5.909541E-5,5.373668E-5,1.334996E-4,0.0151761,4.53698E-5,0.01416512,0.001145845,1.234575E-4,1.415338E-4,0.003829542,0.02151868,3.341016E-5,6.272617E-6,5.511914E-6,1.006937E-6,3.135748E-5,9.891105E-5,5.83617E-5,8.397863E-7,7.601813E-7,1.917437E-5,7.715567,5.820638E-5,446088.1,446089.6
0.2342281,5.421983E-5,3.141593,0.7853982,3.141593,4318.397,0.1974164,-5.805557E8,1615.4,1.157598E8,1615.4,1.000003,0.920744,6.664563E-5,-7.5158E-7,7.445595E-8,0.009423403,4.484422E-5,2.841323E-7,0.009150501,0.003420233,5.910372E-5,5.374103E-5,1.335214E-4,0.01517699,4.537953E-5,0.01416493,0.001145779,1.234618E-4,1.415374E-4,0.003829732,0.02151773,3.339351E-5,6.273286E-6,5.512954E-6,1.007179E-6,3.136132E-5,9.892197E-5,5.837084E-5,8.402552E-7,7.604114E-7,1.917789E-5,7.715564,5.82064E-5,446087.9,446089.5
0.2342557,5.422622E-5,3.141593,0.7853982,3.141593,4318.396,0.1974164,-5.804684E8,1615.399,1.157597E8,1615.399,1.000003,0.9207432,6.663653E-5,-7.673038E-7,7.45768E-8,0.00942362,4.484004E-5,2.899424E-7,0.009150917,0.003420445,5.911088E-5,5.374478E-5,1.335401E-4,0.01517776,4.53879E-5,0.01416477,0.001145722,1.234654E-4,1.415405E-4,0.003829897,0.02151691,3.337917E-5,6.273863E-6,5.513849E-6,1.007387E-6,3.136463E-5,9.893138E-5,5.83787E-5,8.406571E-7,7.606096E-7,1.918092E-5,7.71556,5.820642E-5,446087.8,446089.4
0.2343199,5.42411E-5,3.141593,0.7853982,3.141593,4318.392,0.1974164,-5.721861E8,1615.396,1.157595E8,1615.396,1.000003,0.9207414,6.662035E-5,-7.978655E-7,7.488124E-8,0.009424125,4.482975E-5,2.944209E-7,0.009151867,0.003420937,5.912753E-5,5.375349E-5,1.335838E-4,0.01517954,4.54074E-5,0.01416438,0.001145589,1.234739E-4,1.415477E-4,0.003830279,0.02151499,3.334584E-5,6.275204E-6,5.515933E-6,1.007873E-6,3.137232E-5,9.895328E-5,5.839702E-5,8.415399E-7,7.610709E-7,1.918799E-5,7.715552,5.820647E-5,446087.4,446089.0
0.2344604,5.427361E-5,3.141593,0.7853982,3.141593,4318.385,0.1974164,-5.562402E8,1615.39,1.157589E8,1615.39,1.000003,0.9207375,6.661139E-5,-8.295091E-7,7.565702E-8,0.009425229,4.480659E-5,2.959898E-7,0.009153926,0.003422014,5.916394E-5,5.377252E-5,1.336793E-4,0.01518344,4.545003E-5,0.01416354,0.001145299,1.234925E-4,1.415634E-4,0.003831115,0.02151081,3.327316E-5,6.278135E-6,5.520491E-6,1.008934E-6,3.138914E-5,9.900115E-5,5.843705E-5,8.431631E-7,7.620794E-7,1.920343E-5,7.715536,5.820656E-5,446086.4,446088.0
0.2354348,5.449926E-5,3.141593,0.7853982,3.141593,4318.337,0.1974164,-5.562623E8,1615.347,1.157552E8,1615.347,1.000003,0.9207099,6.660411E-5,-8.829891E-7,8.217827E-8,0.009432865,4.469902E-5,3.219441E-7,0.009168232,0.003429478,5.941645E-5,5.390422E-5,1.343419E-4,0.01521044,4.574614E-5,0.01415768,0.001143307,1.236207E-4,1.416714E-4,0.003836913,0.02148178,3.277504E-5,6.298484E-6,5.552136E-6,1.01631E-6,3.150576E-5,9.933316E-5,5.871475E-5,8.530054E-7,7.690953E-7,1.931065E-5,7.715417,5.820721E-5,446080.1,446081.8
0.2355573,5.452763E-5,3.141593,0.7853982,3.141593,4318.331,0.1974164,-5.784615E8,1615.341,1.157547E8,1615.341,1.000003,0.9207064,6.658791E-5,-9.067185E-7,8.304627E-8,0.009433824,4.469225E-5,3.313697E-7,0.009170043,0.003430415,5.944819E-5,5.392077E-5,1.344252E-4,0.01521383,4.57834E-5,0.01415694,0.001143058,1.236368E-4,1.416849E-4,0.003837641,0.02147814,3.271319E-5,6.301046E-6,5.556114E-6,1.017239E-6,3.152043E-5,9.937489E-5,5.874965E-5,8.543979E-7,7.699795E-7,1.932414E-5,7.715402,5.820729E-5,446079.3,446081.1
