Distance_PFRC2 (cm),Plug_flow_residence_time_PFRC2 (sec),Internal_surface_area_per_unit_distance_PFRC2 (cm),Cross-section_area_PFRC2 (cm2),External_surface_area_per_unit_distance_PFRC2 (cm),Velocity_PFRC2 (cm/sec),Exit_mass_flow_rate_PFRC2 (g/sec),Volumetric_heat_production_rate_PFRC2 (erg/cm3-sec),Surface_temperature_PFRC2 (K),Heat_loss_rate_PFRC2 (erg/cm-sec),Temperature_PFRC2 (K),Pressure_PFRC2 (atm),Mass_fraction_H2_PFRC2 (),Mass_fraction_CH4_PFRC2 (),Mass_fraction_CH3_PFRC2 (),Mass_fraction_C2H6_PFRC2 (),Mass_fraction_C2H4_PFRC2 (),Mass_fraction_C2H2_PFRC2 (),Mass_fraction_C3H8_PFRC2 (),Mass_fraction_C3H6_PFRC2 (),Mass_fraction_C4H8-2_PFRC2 (),Mass_fraction_C4H6_PFRC2 (),Mass_fraction_C4H4_PFRC2 (),Mass_fraction_C6H6_PFRC2 (),Mass_fraction_C5H6_PFRC2 (),Mass_fraction_C10H8_PFRC2 (),Mass_fraction_C7H8_PFRC2 (),Mass_fraction_C7H7_PFRC2 (),Mass_fraction_STILB_PFRC2 (),Mass_fraction_C6H5C2H_PFRC2 (),Mass_fraction_C6H5C2H3_PFRC2 (),Mass_fraction_C6H5C2H5_PFRC2 (),Mass_fraction_C6H5CHCH3_PFRC2 (),Mass_fraction_INDENE_PFRC2 (),Mass_fraction_BIPHENYL_PFRC2 (),Mass_fraction_FLUORENE_PFRC2 (),Mass_fraction_C14H10_PFRC2 (),Mass_fraction_C16H10_PFRC2 (),Mass_fraction_C6H5C2H4C6H5_PFRC2 (),Mass_fraction_BIN1A_PFRC2 (),Mass_fraction_NPBENZ_PFRC2 (),Mass_fraction_C10H10_PFRC2 (),Molecular_weight_PFRC2 (g/mole),Mass_density_PFRC2 (g/cm3),Unburned_hydrocarbons_PFRC2 (ppm),Volatile_organic_compounds_PFRC2 (ppm)
0,0,6.283185,3.141593,6.283185,804.0651,0.2720914,-2.63E+07,1181.992,0,1181.992,1,0.1766553,1.11E-16,1.47E-23,3.85E-20,4.33E-20,3.07E-22,4.01E-23,1.61E-22,2.37E-25,3.15E-24,2.19E-26,5.95E-22,2.61E-25,9.50E-25,0.1647128,5.13E-28,1.02E-33,1.09E-27,0.5350992,0.1235327,6.96E-31,1.41E-26,7.04E-29,3.97E-28,2.88E-27,9.07E-26,1.04E-34,2.08E-36,3.45E-30,6.32E-31,10.44735,1.08E-04,657374.8,657374.8
0.006434544,8.00E-06,6.283185,3.141593,6.283185,804.0005,0.2720914,-1.59E+07,1181.892,1.55E+08,1181.892,1,0.1766547,5.33E-06,3.83E-06,4.40E-08,2.92E-06,2.59E-07,2.44E-10,1.19E-09,1.44E-14,6.00E-11,8.12E-12,1.03E-05,1.27E-12,6.97E-13,0.164709,5.47E-05,6.08E-07,1.71E-06,0.5350636,0.1234641,2.74E-05,1.64E-12,2.01E-11,1.80E-08,1.23E-07,1.84E-08,2.10E-08,5.47E-09,3.76E-10,1.28E-13,10.44731,1.08E-04,657372,657372
0.06273709,7.81E-05,6.283185,3.141593,6.283185,803.4793,0.2720914,-1.48E+07,1181.079,1.55E+08,1181.079,1,0.1766379,9.53E-05,5.20E-06,2.57E-06,1.71E-04,1.38E-05,2.39E-08,1.42E-07,1.13E-10,4.05E-08,1.35E-09,5.70E-04,1.64E-10,2.21E-09,0.1645997,5.28E-04,3.63E-05,8.93E-05,0.5340245,0.1227682,4.27E-04,1.88E-09,1.76E-08,1.05E-06,8.17E-06,9.77E-07,1.12E-05,2.88E-07,2.16E-07,4.88E-10,10.44689,1.08E-04,657346,657346
0.2,2.49E-04,6.283185,3.141593,6.283185,802.3438,0.2720914,-8573616,1179.198,1.55E+08,1179.198,1,0.1765647,3.53E-04,5.96E-06,1.74E-05,0.001189355,9.40E-05,1.94E-07,1.28E-06,7.22E-09,1.77E-06,3.86E-08,0.003948181,2.41E-09,1.07E-07,0.164346,0.001172579,2.56E-04,6.06E-04,0.5294865,0.1207235,9.27E-04,6.88E-08,6.77E-07,7.33E-06,6.06E-05,7.14E-06,2.00E-04,2.12E-06,3.75E-06,2.43E-08,10.44502,1.08E-04,657228.1,657228.1
0.4,4.99E-04,6.283185,3.141593,6.283185,800.8888,0.2720914,-5057951,1176.701,1.54E+08,1176.701,1,0.1764355,7.43E-04,5.86E-06,4.71E-05,0.003082409,2.42E-04,5.56E-07,3.70E-06,5.52E-08,1.16E-05,2.45E-07,0.01026326,1.72E-08,7.54E-07,0.1642755,0.001342923,6.90E-04,0.001558684,0.5217598,0.1176348,0.001039296,4.52E-07,4.31E-06,1.91E-05,1.62E-04,2.09E-05,5.99E-04,6.37E-06,1.31E-05,1.59E-07,10.44183,1.08E-04,657027.6,657027.6
0.6,7.48E-04,6.283185,3.141593,6.283185,799.4814,0.2720914,-4037053,1174.293,1.54E+08,1174.293,1,0.1763093,0.001111294,5.54E-06,7.90E-05,0.004918135,3.84E-04,9.40E-07,6.06E-06,1.50E-07,2.92E-05,6.30E-07,0.01643375,5.77E-08,2.02E-06,0.1643452,0.001342713,0.001140126,0.002478539,0.5143319,0.1147504,0.001022583,1.17E-06,1.08E-05,3.07E-05,2.63E-04,3.70E-05,8.86E-04,1.16E-05,2.31E-05,4.01E-07,10.4388,1.08E-04,656837,656837
0.8,9.99E-04,6.283185,3.141593,6.283185,798.0824,0.2720914,-3387456,1171.924,1.53E+08,1171.924,1.000001,0.1761901,0.001455647,5.24E-06,1.12E-04,0.006627105,5.15E-04,1.32E-06,8.21E-06,2.85E-07,5.25E-05,1.17E-06,0.02222,1.32E-07,3.83E-06,0.164465,0.001317662,0.001576516,0.003331251,0.5073805,0.1120947,9.96E-04,2.16E-06,1.96E-05,4.14E-05,3.59E-04,5.45E-05,0.001069472,1.76E-05,3.28E-05,7.25E-07,10.43601,1.09E-04,656661.2,656661.2
1,0.001249657,6.283185,3.141593,6.283185,796.6866,0.2720914,-2869667,1169.586,1.53E+08,1169.586,1.000001,0.1760779,0.001777486,4.95E-06,1.45E-04,0.008216264,6.36E-04,1.70E-06,1.02E-05,4.54E-07,8.01E-05,1.83E-06,0.02763723,2.45E-07,6.15E-06,0.1646011,0.001285127,0.001992079,0.004120699,0.5008763,0.1096472,9.72E-04,3.37E-06,3.02E-05,5.14E-05,4.50E-04,7.30E-05,0.001184507,2.40E-05,4.20E-05,1.12E-06,10.43344,1.09E-04,656499.4,656499.4
1.2,0.001500916,6.283185,3.141593,6.283185,795.2924,0.2720914,-2436232,1167.274,1.53E+08,1167.274,1.000001,0.1759722,0.002078774,4.69E-06,1.79E-04,0.009697019,7.47E-04,2.07E-06,1.20E-05,6.53E-07,1.11E-04,2.60E-06,0.03271722,3.98E-07,8.90E-06,0.1647367,0.001249359,0.002384386,0.004852941,0.49478,0.107387,9.49E-04,4.76E-06,4.22E-05,6.06E-05,5.35E-04,9.19E-05,0.001255705,3.09E-05,5.08E-05,1.56E-06,10.43107,1.09E-04,656350.1,656350.1
1.4,0.001752617,6.283185,3.141593,6.283185,793.8992,0.2720914,-2066036,1164.985,1.52E+08,1164.985,1.000001,0.1758724,0.00236125,4.44E-06,2.13E-04,0.01107956,8.51E-04,2.43E-06,1.36E-05,8.78E-07,1.44E-04,3.47E-06,0.03748894,5.90E-07,1.20E-05,0.1648627,0.001212316,0.002752995,0.005533407,0.4890566,0.1052958,9.28E-04,6.29E-06,5.53E-05,6.92E-05,6.17E-04,1.11E-04,0.001298491,3.80E-05,5.92E-05,2.06E-06,10.42888,1.09E-04,656212.3,656212.3
1.6,0.002004759,6.283185,3.141593,6.283185,792.5064,0.2720914,-1746489,1162.715,1.52E+08,1162.715,1.000001,0.1757782,0.002626444,4.22E-06,2.48E-04,0.01237275,9.46E-04,2.78E-06,1.52E-05,1.12E-06,1.78E-04,4.41E-06,0.04197782,8.20E-07,1.55E-05,0.1649747,0.001175061,0.003098466,0.00616683,0.483675,0.1033577,9.09E-04,7.94E-06,6.92E-05,7.71E-05,6.94E-04,1.31E-04,0.001322644,4.53E-05,6.71E-05,2.58E-06,10.42685,1.09E-04,656084.8,656084.8
1.8,0.002257345,6.283185,3.141593,6.283185,791.114,0.2720914,-1468281,1160.463,1.51E+08,1160.463,1.000001,0.1756892,0.00287571,4.01E-06,2.82E-04,0.0135843,0.001034793,3.13E-06,1.66E-05,1.39E-06,2.13E-04,5.40E-06,0.04620625,1.09E-06,1.92E-05,0.1650709,0.001138219,0.003421869,0.006757355,0.4786083,0.1015587,8.91E-04,9.68E-06,8.37E-05,8.45E-05,7.67E-04,1.50E-04,0.001334427,5.28E-05,7.47E-05,3.14E-06,10.42497,1.09E-04,655966.7,655966.7
2,0.002510376,6.283185,3.141593,6.283185,789.7218,0.2720914,-1223979,1158.228,1.51E+08,1158.228,1.000001,0.175605,0.003110256,3.81E-06,3.16E-04,0.01472098,0.001117162,3.46E-06,1.79E-05,1.67E-06,2.49E-04,6.45E-06,0.05019406,1.38E-06,2.32E-05,0.1651509,0.001102207,0.003724484,0.007308634,0.4738324,0.09988669,8.74E-04,1.15E-05,9.87E-05,9.15E-05,8.36E-04,1.69E-04,0.001337967,6.03E-05,8.18E-05,3.72E-06,10.42323,1.10E-04,655857.1,655857.1
2.2,0.002763853,6.283185,3.141593,6.283185,788.3298,0.2720914,-1008784,1156.007,1.51E+08,1156.007,1.000001,0.1755252,0.003331168,3.63E-06,3.51E-04,0.01578884,0.001193782,3.78E-06,1.92E-05,1.97E-06,2.86E-04,7.53E-06,0.05395908,1.71E-06,2.74E-05,0.1652151,0.001067192,0.004007677,0.007823924,0.4693254,0.09833062,8.59E-04,1.33E-05,1.14E-04,9.80E-05,9.01E-04,1.88E-04,0.001336027,6.79E-05,8.87E-05,4.31E-06,10.42162,1.10E-04,655755.5,655755.5
2.4,0.003017778,6.283185,3.141593,6.283185,786.9379,0.2720914,-818478.4,1153.8,1.50E+08,1153.8,1.000001,0.1754496,0.003539426,3.45E-06,3.85E-04,0.01679325,0.00126513,4.09E-06,2.03E-05,2.28E-06,3.22E-04,8.64E-06,0.05751734,2.07E-06,3.18E-05,0.1652644,0.001033253,0.004272825,0.008306135,0.4650681,0.09688083,8.44E-04,1.52E-05,1.29E-04,1.04E-04,9.63E-04,2.06E-04,0.0013304,7.55E-05,9.52E-05,4.92E-06,10.42012,1.10E-04,655661,655661
2.6,0.003272153,6.283185,3.141593,6.283185,785.5462,0.2720914,-650162.4,1151.606,1.50E+08,1151.606,1.000002,0.175378,0.003735914,3.29E-06,4.20E-04,0.01773899,0.001331633,4.39E-06,2.14E-05,2.59E-06,3.58E-04,9.76E-06,0.06088319,2.45E-06,3.63E-05,0.1652998,0.001000488,0.004521235,0.008757856,0.4610429,0.09552864,8.30E-04,1.71E-05,1.45E-04,1.10E-04,0.001022376,2.25E-04,0.001322287,8.30E-05,1.01E-04,5.54E-06,10.41872,1.10E-04,655573.2,655573.2
2.8,0.003526978,6.283185,3.141593,6.283185,784.1548,0.2720914,-499530.4,1149.423,1.50E+08,1149.423,1.000002,0.1753099,0.003921438,3.14E-06,4.54E-04,0.01863038,0.001393676,4.68E-06,2.25E-05,2.92E-06,3.93E-04,1.09E-05,0.06406973,2.85E-06,4.08E-05,0.1653227,9.69E-04,0.004754135,0.00918143,0.4572338,0.09426627,8.18E-04,1.90E-05,1.60E-04,1.15E-04,0.00107844,2.42E-04,0.001312567,9.04E-05,1.07E-04,6.16E-06,10.41742,1.10E-04,655491.4,655491.4
3,0.003782257,6.283185,3.141593,6.283185,782.7638,0.2720914,-366109.8,1147.25,1.49E+08,1147.25,1.000002,0.1752452,0.004096734,2.99E-06,4.87E-04,0.01947135,0.001451605,4.97E-06,2.34E-05,3.25E-06,4.28E-04,1.20E-05,0.06708893,3.27E-06,4.55E-05,0.1653341,9.38E-04,0.004972679,0.009578982,0.4536263,0.09308669,8.06E-04,2.10E-05,1.76E-04,1.20E-04,0.001131735,2.59E-04,0.00130184,9.77E-05,1.13E-04,6.78E-06,10.41621,1.11E-04,655415.2,655415.2
3.2,0.004037989,6.283185,3.141593,6.283185,781.3731,0.2720914,-247306.2,1145.088,1.49E+08,1145.088,1.000002,0.1751838,0.004262474,2.86E-06,5.21E-04,0.02026541,0.001505734,5.24E-06,2.44E-05,3.59E-06,4.62E-04,1.32E-05,0.06995158,3.71E-06,5.02E-05,0.1653352,9.09E-04,0.005177928,0.009952419,0.4502073,0.09198357,7.94E-04,2.29E-05,1.91E-04,1.25E-04,0.001182423,2.76E-04,0.001290472,1.05E-04,1.18E-04,7.40E-06,10.41508,1.11E-04,655344.2,655344.2
3.4,0.004294176,6.283185,3.141593,6.283185,779.9829,0.2720914,-140063,1142.935,1.48E+08,1142.935,1.000002,0.1751253,0.00441927,2.73E-06,5.54E-04,0.02101576,0.001556343,5.50E-06,2.52E-05,3.94E-06,4.96E-04,1.43E-05,0.07266759,4.16E-06,5.50E-05,0.1653272,8.81E-04,0.005370854,0.01030347,0.4469647,0.0909512,7.84E-04,2.47E-05,2.06E-04,1.29E-04,0.001230655,2.93E-04,0.001278752,1.12E-04,1.24E-04,8.02E-06,10.41403,1.11E-04,655278,655278
3.6,0.004550821,6.283185,3.141593,6.283185,778.5932,0.2720914,-45723.52,1140.792,1.48E+08,1140.792,1.000002,0.1750696,0.004567691,2.61E-06,5.87E-04,0.02172533,0.001603693,5.75E-06,2.61E-05,4.29E-06,5.28E-04,1.54E-05,0.07524613,4.62E-06,5.97E-05,0.1653111,8.53E-04,0.005552356,0.01063373,0.4438874,0.08998434,7.74E-04,2.66E-05,2.21E-04,1.33E-04,0.001276572,3.08E-04,0.001266901,1.19E-04,1.29E-04,8.63E-06,10.41305,1.11E-04,655216.2,655216.2
3.8,0.004807924,6.283185,3.141593,6.283185,777.2041,0.2720914,39304.26,1138.656,1.48E+08,1138.656,1.000002,0.1750166,0.004708257,2.49E-06,6.20E-04,0.0223968,0.001648017,5.99E-06,2.69E-05,4.64E-06,5.60E-04,1.65E-05,0.07769555,5.09E-06,6.45E-05,0.1652877,8.27E-04,0.005723253,0.01094465,0.4409652,0.08907827,7.65E-04,2.85E-05,2.35E-04,1.37E-04,0.001320305,3.24E-04,0.001255044,1.26E-04,1.33E-04,9.24E-06,10.41213,1.11E-04,655158.6,655158.6
4,0.005065487,6.283185,3.141593,6.283185,775.8158,0.2720914,114994,1136.529,1.47E+08,1136.529,1.000002,0.1749661,0.004841447,2.39E-06,6.52E-04,0.02303259,0.00168953,6.22E-06,2.76E-05,5.00E-06,5.91E-04,1.76E-05,0.08002353,5.57E-06,6.92E-05,0.165258,8.02E-04,0.005884295,0.01123752,0.4381888,0.08822867,7.56E-04,3.03E-05,2.49E-04,1.41E-04,0.001361974,3.38E-04,0.001243269,1.32E-04,1.38E-04,9.83E-06,10.41127,1.12E-04,655104.7,655104.7
4.2,0.005323511,6.283185,3.141593,6.283185,774.4281,0.2720914,182780.1,1134.409,1.47E+08,1134.409,1.000003,0.1749179,0.004967705,2.28E-06,6.84E-04,0.02363495,0.001728428,6.45E-06,2.84E-05,5.36E-06,6.21E-04,1.87E-05,0.08223719,6.05E-06,7.39E-05,0.1652228,7.77E-04,0.006036171,0.01151358,0.4355496,0.08743159,7.47E-04,3.21E-05,2.63E-04,1.45E-04,0.00140169,3.53E-04,0.001231644,1.39E-04,1.42E-04,1.04E-05,10.41047,1.12E-04,655054.4,655054.4
4.4,0.005581997,6.283185,3.141593,6.283185,773.0414,0.2720914,243255.8,1132.297,1.46E+08,1132.297,1.000003,0.174872,0.005087443,2.18E-06,7.15E-04,0.02420595,0.001764891,6.66E-06,2.91E-05,5.72E-06,6.51E-04,1.97E-05,0.08434314,6.54E-06,7.85E-05,0.1651828,7.54E-04,0.006179513,0.01177392,0.4330394,0.0866834,7.39E-04,3.38E-05,2.77E-04,1.48E-04,0.001439559,3.66E-04,0.001220215,1.45E-04,1.47E-04,1.10E-05,10.40973,1.12E-04,655007.4,655007.4
4.6,0.005840948,6.283185,3.141593,6.283185,771.6555,0.2720914,297033.7,1130.191,1.46E+08,1130.191,1.000003,0.1748281,0.005201043,2.09E-06,7.46E-04,0.02474748,0.001799086,6.87E-06,2.97E-05,6.09E-06,6.79E-04,2.08E-05,0.08634749,7.03E-06,8.31E-05,0.1651386,7.31E-04,0.006314901,0.01201957,0.430651,0.08598078,7.32E-04,3.55E-05,2.90E-04,1.51E-04,0.001475679,3.80E-04,0.001209012,1.51E-04,1.51E-04,1.16E-05,10.40903,1.12E-04,654963.4,654963.4
4.8,0.006100364,6.283185,3.141593,6.283185,770.2706,0.2720914,344946.9,1128.092,1.46E+08,1128.092,1.000003,0.1747863,0.005308857,2.00E-06,7.77E-04,0.02526131,0.001831162,7.07E-06,3.04E-05,6.45E-06,7.06E-04,2.18E-05,0.08825587,7.52E-06,8.77E-05,0.1650908,7.09E-04,0.006442862,0.01225146,0.4283774,0.08532071,7.24E-04,3.72E-05,3.03E-04,1.54E-04,0.00151014,3.93E-04,0.001198051,1.57E-04,1.55E-04,1.21E-05,10.40838,1.12E-04,654922.3,654922.3
5,0.006360246,6.283185,3.141593,6.283185,768.8867,0.2720914,387497.1,1125.999,1.45E+08,1125.999,1.000003,0.1747463,0.005411216,1.92E-06,8.07E-04,0.02574904,0.001861261,7.26E-06,3.10E-05,6.82E-06,7.33E-04,2.27E-05,0.09007356,8.02E-06,9.22E-05,0.16504,6.88E-04,0.006563887,0.01247048,0.4262123,0.08470036,7.18E-04,3.88E-05,3.15E-04,1.57E-04,0.001543029,4.05E-04,0.00118734,1.63E-04,1.59E-04,1.27E-05,10.40777,1.13E-04,654883.9,654883.9
5.2,0.006620597,6.283185,3.141593,6.283185,767.504,0.2720914,425242.3,1123.913,1.45E+08,1123.913,1.000003,0.1747081,0.005508424,1.84E-06,8.36E-04,0.02621218,0.001889511,7.45E-06,3.16E-05,7.19E-06,7.59E-04,2.37E-05,0.09180542,8.51E-06,9.66E-05,0.1649866,6.67E-04,0.00667842,0.0126774,0.4241497,0.08411717,7.11E-04,4.04E-05,3.27E-04,1.60E-04,0.001574423,4.17E-04,0.001176882,1.69E-04,1.62E-04,1.32E-05,10.40719,1.13E-04,654848,654848
5.4,0.006881417,6.283185,3.141593,6.283185,766.1223,0.2720914,458502.2,1121.832,1.45E+08,1121.832,1.000003,0.1746716,0.005600767,1.76E-06,8.66E-04,0.02665213,0.001916033,7.62E-06,3.21E-05,7.56E-06,7.83E-04,2.46E-05,0.09345604,9.00E-06,1.01E-04,0.1649312,6.48E-04,0.006786876,0.01287298,0.4221842,0.08356875,7.05E-04,4.20E-05,3.39E-04,1.63E-04,0.001604399,4.28E-04,0.001166676,1.74E-04,1.66E-04,1.37E-05,10.40666,1.13E-04,654814.4,654814.4
5.6,0.007142707,6.283185,3.141593,6.283185,764.7419,0.2720914,487826.6,1119.757,1.44E+08,1119.757,1.000003,0.1746367,0.005688516,1.69E-06,8.95E-04,0.02707018,0.001940936,7.79E-06,3.27E-05,7.93E-06,8.07E-04,2.55E-05,0.0950297,9.49E-06,1.05E-04,0.164874,6.28E-04,0.006889638,0.0130579,0.4203106,0.08305288,6.99E-04,4.35E-05,3.51E-04,1.65E-04,0.001633028,4.39E-04,0.00115672,1.79E-04,1.69E-04,1.42E-05,10.40616,1.13E-04,654783,654783
5.8,0.007404469,6.283185,3.141593,6.283185,763.3628,0.2720914,513655.8,1117.688,1.44E+08,1117.688,1.000003,0.1746033,0.005771917,1.62E-06,9.23E-04,0.02746754,0.001964325,7.96E-06,3.32E-05,8.30E-06,8.30E-04,2.64E-05,0.09653037,9.97E-06,1.09E-04,0.1648154,6.10E-04,0.006987056,0.0132328,0.418524,0.08256752,6.93E-04,4.50E-05,3.62E-04,1.67E-04,0.001660374,4.50E-04,0.001147011,1.85E-04,1.73E-04,1.47E-05,10.4057,1.13E-04,654753.7,654753.7
6,0.007666705,6.283185,3.141593,6.283185,761.985,0.2720914,536197,1115.624,1.44E+08,1115.624,1.000004,0.1745714,0.005851206,1.55E-06,9.51E-04,0.02784534,0.001986294,8.11E-06,3.37E-05,8.68E-06,8.53E-04,2.72E-05,0.09796182,1.04E-05,1.13E-04,0.1647558,5.92E-04,0.007079458,0.01339828,0.4168199,0.08211077,6.88E-04,4.64E-05,3.72E-04,1.70E-04,0.001686501,4.60E-04,0.001137543,1.89E-04,1.76E-04,1.52E-05,10.40526,1.14E-04,654726.2,654726.2
6.2,0.007929415,6.283185,3.141593,6.283185,760.6086,0.2720914,555736.3,1113.565,1.43E+08,1113.565,1.000004,0.1745408,0.005926603,1.49E-06,9.78E-04,0.02820464,0.002006932,8.27E-06,3.42E-05,9.05E-06,8.74E-04,2.80E-05,0.09932756,1.09E-05,1.17E-04,0.1646954,5.75E-04,0.007167145,0.01355489,0.415194,0.08168086,6.83E-04,4.78E-05,3.83E-04,1.72E-04,0.001711468,4.70E-04,0.00112831,1.94E-04,1.79E-04,1.57E-05,10.40485,1.14E-04,654700.6,654700.6
6.4,0.0081926,6.283185,3.141593,6.283185,759.2336,0.2720914,572516,1111.512,1.43E+08,1111.512,1.000004,0.1745116,0.005998312,1.43E-06,0.001005352,0.02854643,0.002026322,8.41E-06,3.47E-05,9.42E-06,8.95E-04,2.88E-05,0.1006309,1.14E-05,1.21E-04,0.1646345,5.58E-04,0.007250396,0.01370315,0.4136425,0.08127616,6.78E-04,4.91E-05,3.93E-04,1.74E-04,0.00173533,4.80E-04,0.001119304,1.99E-04,1.82E-04,1.61E-05,10.40447,1.14E-04,654676.6,654676.6
6.6,0.008456262,6.283185,3.141593,6.283185,757.8601,0.2720914,586818.8,1109.463,1.42E+08,1109.463,1.000004,0.1744836,0.006066528,1.37E-06,0.001031906,0.02887162,0.00204454,8.55E-06,3.52E-05,9.79E-06,9.15E-04,2.95E-05,0.1018749,1.19E-05,1.25E-04,0.1645734,5.42E-04,0.007329472,0.01384353,0.4121615,0.08089515,6.73E-04,5.04E-05,4.02E-04,1.76E-04,0.001758139,4.89E-04,0.001110517,2.03E-04,1.85E-04,1.65E-05,10.40412,1.14E-04,654654.2,654654.2
6.8,0.008720402,6.283185,3.141593,6.283185,756.488,0.2720914,598901.5,1107.419,1.42E+08,1107.419,1.000004,0.1744568,0.006131431,1.32E-06,0.001057999,0.02918107,0.002061658,8.69E-06,3.56E-05,1.02E-05,9.34E-04,3.03E-05,0.1030624,1.23E-05,1.29E-04,0.1645121,5.26E-04,0.007404612,0.01397647,0.4107476,0.0805364,6.69E-04,5.17E-05,4.12E-04,1.78E-04,0.001779944,4.98E-04,0.001101943,2.08E-04,1.88E-04,1.70E-05,10.40378,1.14E-04,654633.3,654633.3
7,0.008985022,6.283185,3.141593,6.283185,755.1176,0.2720914,608936.6,1105.38,1.42E+08,1105.38,1.000004,0.1744312,0.006193194,1.26E-06,0.001083632,0.02947561,0.002077743,8.81E-06,3.60E-05,1.05E-05,9.53E-04,3.10E-05,0.1041964,1.28E-05,1.32E-04,0.1644509,5.11E-04,0.007476043,0.01410242,0.4093974,0.0801986,6.64E-04,5.29E-05,4.21E-04,1.79E-04,0.001800794,5.06E-04,0.001093573,2.12E-04,1.91E-04,1.74E-05,10.40347,1.15E-04,654613.8,654613.8
7.2,0.009250121,6.283185,3.141593,6.283185,753.7487,0.2720914,617123.5,1103.346,1.41E+08,1103.346,1.000004,0.1744066,0.006251976,1.21E-06,0.001108806,0.02975599,0.002092858,8.94E-06,3.64E-05,1.09E-05,9.71E-04,3.17E-05,0.1052792,1.32E-05,1.36E-04,0.1643901,4.96E-04,0.007543972,0.01422174,0.4081079,0.0798805,6.60E-04,5.41E-05,4.29E-04,1.81E-04,0.001820732,5.14E-04,0.001085399,2.16E-04,1.93E-04,1.78E-05,10.40318,1.15E-04,654595.6,654595.6
7.4,0.009515703,6.283185,3.141593,6.283185,752.3815,0.2720914,623592.5,1101.316,1.41E+08,1101.316,1.000004,0.174383,0.006307929,1.16E-06,0.001133521,0.03002293,0.002107059,9.06E-06,3.69E-05,1.13E-05,9.88E-04,3.23E-05,0.1063134,1.37E-05,1.39E-04,0.1643296,4.81E-04,0.007608594,0.01433481,0.4068761,0.07958096,6.56E-04,5.52E-05,4.38E-04,1.83E-04,0.001839799,5.22E-04,0.001077415,2.20E-04,1.96E-04,1.82E-05,10.40291,1.15E-04,654578.6,654578.6
7.6,0.009781767,6.283185,3.141593,6.283185,751.016,0.2720914,628416.3,1099.291,1.41E+08,1099.291,1.000005,0.1743605,0.006361196,1.12E-06,0.001157779,0.0302771,0.002120403,9.17E-06,3.72E-05,1.17E-05,0.001004724,3.30E-05,0.1073012,1.41E-05,1.43E-04,0.1642696,4.67E-04,0.00767009,0.01444198,0.4056993,0.07929889,6.52E-04,5.64E-05,4.46E-04,1.84E-04,0.001858037,5.30E-04,0.001069614,2.24E-04,1.99E-04,1.85E-05,10.40266,1.15E-04,654562.8,654562.8
7.8,0.01004832,6.283185,3.141593,6.283185,749.6522,0.2720914,631834.1,1097.27,1.40E+08,1097.27,1.000005,0.1743388,0.006411912,1.07E-06,0.001181583,0.03051915,0.002132939,9.28E-06,3.76E-05,1.20E-05,0.001020682,3.36E-05,0.1082449,1.45E-05,1.46E-04,0.1642103,4.54E-04,0.007728632,0.01454356,0.4045748,0.07903329,6.49E-04,5.74E-05,4.53E-04,1.86E-04,0.001875482,5.37E-04,0.001061989,2.27E-04,2.01E-04,1.89E-05,10.40243,1.16E-04,654548.1,654548.1
