Time_Soln#15 (sec),Volume_Soln#15 (cm3),Volumetric_heat_production_rate_Soln#15 (erg/cm3-sec),Surface_temperature_Soln#15 (K),Temperature_Soln#15 (K),Mass_Soln#15 (g),Pressure_Soln#15 (atm),Mole_fraction_H2_Soln#15 (),Mole_fraction_H_Soln#15 (),Mole_fraction_CH4_Soln#15 (),Mole_fraction_CH3_Soln#15 (),Mole_fraction_C2H4_Soln#15 (),Mole_fraction_C2H2_Soln#15 (),Mole_fraction_C4H4_Soln#15 (),Mole_fraction_C4H2_Soln#15 (),Mole_fraction_C6H6_Soln#15 (),Mole_fraction_C10H8_Soln#15 (),Mole_fraction_C7H8_Soln#15 (),Mole_fraction_C7H7_Soln#15 (),Mole_fraction_C6H5C2H_Soln#15 (),Mole_fraction_C6H5C2H3_Soln#15 (),Mole_fraction_C6H5C2H5_Soln#15 (),Mole_fraction_BIPHENYL_Soln#15 (),Mole_fraction_C14H10_Soln#15 (),Mole_fraction_C16H10_Soln#15 (),Mole_fraction_BIN1B_Soln#15 (),Mole_fraction_BIN1A_Soln#15 (),Molecular_weight_Soln#15 (g/mole),Mass_density_Soln#15 (g/cm3),Unburned_hydrocarbons_Soln#15 (ppm),Volatile_organic_compounds_Soln#15 (ppm)
3.512817E-6,15.58362,-5.212672E9,1672.685,1672.685,0.00119386,1.0,0.9013703,3.668452E-4,0.006347408,0.001347359,0.00312647,9.30555E-4,1.962689E-5,2.266085E-5,0.00511902,1.01431E-6,0.02730425,0.005962233,0.001337496,0.03835666,0.0075491,4.731238E-6,2.449345E-5,1.67865E-6,8.948212E-9,6.141023E-7,10.51519,7.660991E-5,662830.3,662830.4
3.669019E-6,15.58482,-4.619274E9,1672.505,1672.505,0.00119386,1.0,0.9009995,3.593773E-4,0.006607131,0.001317027,0.003250049,9.721223E-4,2.080769E-5,2.39125E-5,0.005344185,1.152871E-6,0.02733376,0.006015223,0.001391229,0.03819135,0.007313509,5.077532E-6,2.584658E-5,1.851615E-6,1.005569E-8,6.770459E-7,10.51325,7.660404E-5,662708.2,662708.2
4.010825E-6,15.58764,-3.548264E9,1672.179,1672.179,0.00119386,1.0,0.9002209,3.440475E-4,0.007152815,0.001252558,0.003508533,0.00106013,2.340541E-5,2.666784E-5,0.005819345,1.491638E-6,0.02740571,0.006108022,0.001504049,0.03784128,0.006827254,5.84407E-6,2.878782E-5,2.26072E-6,1.270347E-8,8.259567E-7,10.5093,7.659016E-5,662459.0,662459.0
4.177592E-6,15.58909,-3.117916E9,1672.049,1672.049,0.00119386,1.0,0.8998567,3.370584E-4,0.007408089,0.001222212,0.00362905,0.001101675,2.467763E-5,2.802208E-5,0.006042824,1.674972E-6,0.02744369,0.006143118,0.001556859,0.03767598,0.006603718,6.221658E-6,3.021247E-5,2.475336E-6,1.410829E-8,9.041384E-7,10.5075,7.658302E-5,662345.6,662345.6
7.015282E-6,15.615,-8.699543E7,1671.283,1671.283,0.00119386,1.0,0.8948646,2.536578E-4,0.01086009,8.211142E-4,0.005269741,0.00170415,4.611704E-5,5.268427E-5,0.009203214,6.595328E-6,0.02814441,0.006155704,0.002289684,0.03527958,0.003816643,1.277248E-5,5.336346E-5,7.397313E-6,4.97754E-8,2.731599E-6,10.48527,7.645595E-5,660944.0,660944.0
8.873577E-6,15.62972,2.186682E8,1671.333,1671.333,0.00119386,1.0,0.8924746,2.207582E-4,0.01244874,6.49447E-4,0.006064742,0.002025571,5.940413E-5,7.102608E-5,0.01081015,1.154635E-5,0.0285183,0.005889861,0.002654075,0.03400808,0.002696935,1.702236E-5,6.744383E-5,1.158462E-5,8.610947E-8,4.35265E-6,10.47571,7.638397E-5,660341.5,660341.5
8.915631E-6,15.63002,2.200431E8,1671.335,1671.335,0.00119386,1.0,0.8924264,2.201322E-4,0.01248018,6.461601E-4,0.006080985,0.002032373,5.96954E-5,7.146349E-5,0.01084346,1.167275E-5,0.02852554,0.005882883,0.002661578,0.03398129,0.002676023,1.71174E-5,6.77532E-5,1.168559E-5,8.705814E-8,4.392519E-6,10.47552,7.638249E-5,660329.5,660329.6
8.926956E-6,15.6301,2.204228E8,1671.336,1671.336,0.00119386,1.0,0.8924134,2.199643E-4,0.01248861,6.452788E-4,0.006085348,0.002034202,5.977376E-5,7.158145E-5,0.01085241,1.170689E-5,0.02852747,0.005880999,0.002663593,0.03397408,0.00267042,1.714299E-5,6.783644E-5,1.171283E-5,8.731457E-8,4.403277E-6,10.47547,7.638209E-5,660326.3,660326.4
8.943917E-6,15.63022,2.208187E8,1671.337,1671.337,0.00119386,1.0,0.892394,2.197135E-4,0.01250122,6.43962E-4,0.006091872,0.002036939,5.989107E-5,7.175826E-5,0.0108658,1.17581E-5,0.02853037,0.005878174,0.002666608,0.03396331,0.002662052,1.71813E-5,6.796107E-5,1.175364E-5,8.769941E-8,4.419407E-6,10.47539,7.63815E-5,660321.6,660321.6
8.986715E-6,15.63053,2.214928E8,1671.339,1671.339,0.00119386,1.0,0.8923453,2.190838E-4,0.0125329,6.406561E-4,0.006108287,0.00204383,6.018675E-5,7.22051E-5,0.01089951,1.188776E-5,0.02853764,0.005871027,0.002674195,0.03393617,0.002641058,1.727793E-5,6.827524E-5,1.18568E-5,8.867455E-8,4.4602E-6,10.4752,7.638001E-5,660309.5,660309.5
9.016507E-6,15.63074,2.224055E8,1671.341,1671.341,0.00119386,1.0,0.8923115,2.186483E-4,0.01255485,6.383697E-4,0.006119671,0.002048616,6.039229E-5,7.251681E-5,0.01092289,1.197841E-5,0.02854266,0.005866034,0.002679457,0.03391733,0.002626553,1.734515E-5,6.849368E-5,1.192877E-5,8.93571E-8,4.488681E-6,10.47507,7.637897E-5,660301.2,660301.2
1.0E-5,15.63735,2.017934E8,1671.391,1671.391,0.00119386,1.0,0.8912561,2.053926E-4,0.01323295,5.68903E-4,0.006477916,0.002201783,6.705248E-5,8.308572E-5,0.01166347,1.513492E-5,0.0286931,0.005695587,0.0028456,0.03331603,0.002191418,1.954793E-5,7.559648E-5,1.436435E-5,1.135017E-7,5.463253E-6,10.47096,7.634668E-5,660042.0,660042.0
